	SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000000823.16	13581	10325	13461	12698	11583	12014
ENSMUSG00000000826.16	64188	45179	60353	56751	56708	52350
ENSMUSG00000000827.18	7610	5319	7189	6887	6713	6348
ENSMUSG00000000838.17	8091	5629	8016	7463	7177	6354
ENSMUSG00000000861.15	2841	2014	2639	3606	3402	3234
ENSMUSG00000000869.12	1216	944	1286	1211	1128	1121
ENSMUSG00000000876.11	2324	1614	2321	2050	2034	1935
ENSMUSG00000000881.12	16319	12135	16507	13961	12957	12159
ENSMUSG00000000884.17	606	392	547	516	461	505
ENSMUSG00000000889.8	23	9	9	16	16	8
ENSMUSG00000000901.17	482	352	421	374	414	441
ENSMUSG00000000902.13	8709	6131	8141	7907	7434	7310
ENSMUSG00000000903.3	28	22	13	14	22	20
ENSMUSG00000000915.15	15229	11684	15893	16522	15156	15360
ENSMUSG00000000916.15	2151	1677	2223	2143	1882	1883
ENSMUSG00000000934.9	3112	2232	2927	2830	2745	2544
ENSMUSG00000000938.11	0	0	0	0	1	1
ENSMUSG00000000942.10	0	0	1	0	0	0
ENSMUSG00000000948.16	3745	1699	2766	3100	3714	3027
ENSMUSG00000000957.11	2451	2835	2988	2629	1525	2587
ENSMUSG00000000958.10	214	126	230	163	162	176
ENSMUSG00000000959.7	7070	5026	6764	6684	6543	6263
ENSMUSG00000000976.13	4131	3494	4351	4176	3643	3836
ENSMUSG00000000982.5	15	5	15	2	7	6
ENSMUSG00000000983.13	45	17	40	27	24	34
ENSMUSG00000001014.6	120	46	71	29	39	29
ENSMUSG00000001016.12	10707	7686	10335	9744	9320	8864
ENSMUSG00000001017.15	17368	11656	16045	15313	15813	13724
ENSMUSG00000001018.15	7302	4901	6598	6274	6472	5814
ENSMUSG00000001020.8	107	63	66	111	86	87
ENSMUSG00000001021.12	81	64	69	59	85	80
ENSMUSG00000001023.10	1	0	0	0	0	0
ENSMUSG00000001025.8	963	617	706	879	862	814
ENSMUSG00000001027.7	34	30	23	19	25	26
ENSMUSG00000001029.15	173	172	232	252	165	209
ENSMUSG00000001034.17	3322	2677	3499	3080	2642	2758
ENSMUSG00000001036.17	17022	12647	16919	15709	14672	14299
ENSMUSG00000001039.12	2412	1616	2242	1690	1775	1643
ENSMUSG00000001052.15	11309	9612	12364	11776	9897	10778
ENSMUSG00000001053.15	936	706	929	616	586	696
ENSMUSG00000001054.9	4017	2993	3986	3784	3743	3450
ENSMUSG00000001056.3	2119	1411	1968	1805	1970	1638
ENSMUSG00000001062.18	7588	5689	7818	7955	7294	6992
ENSMUSG00000001065.15	4012	3214	4387	4188	3829	3636
ENSMUSG00000001076.7	300	315	491	169	110	176
ENSMUSG00000001082.12	3200	2627	3346	2697	2378	2373
ENSMUSG00000001089.14	13779	10291	15529	17667	15778	15715
ENSMUSG00000001095.5	0	0	1	0	1	1
ENSMUSG00000001098.15	8622	6415	8375	9051	8271	8226
ENSMUSG00000001100.10	11932	8173	10950	10076	10488	9521
ENSMUSG00000001103.7	29	28	34	30	28	27
ENSMUSG00000001105.15	5634	3830	5207	4706	4935	4335
ENSMUSG00000001119.7	1380	1022	1152	1559	1116	1182
ENSMUSG00000001120.15	7077	5113	6871	8507	7988	7737
ENSMUSG00000001123.15	374	362	434	410	377	419
ENSMUSG00000001127.12	35447	23726	31173	32702	33720	30216
ENSMUSG00000001128.7	1701	1487	1955	1953	1470	1464
ENSMUSG00000001131.11	85	74	92	108	84	73
ENSMUSG00000001134.9	523	339	479	419	429	369
